fips,median_income,county,state
17003,34709.0,Alexander,Illinois
17005,58097.0,Bond,Illinois
17007,66898.0,Boone,Illinois
17009,58762.0,Brown,Illinois
17011,55940.0,Bureau,Illinois
17013,54392.0,Calhoun,Illinois
17015,51228.0,Carroll,Illinois
17017,51997.0,Cass,Illinois
17019,51692.0,Champaign,Illinois
17021,52415.0,Christian,Illinois
17023,54158.0,Clark,Illinois
17025,48691.0,Clay,Illinois
17027,65010.0,Clinton,Illinois
17029,44071.0,Coles,Illinois
17031,62088.0,Cook,Illinois
17033,49233.0,Crawford,Illinois
17035,53376.0,Cumberland,Illinois
17037,61086.0,DeKalb,Illinois
17039,55591.0,De Witt,Illinois
17041,54218.0,Douglas,Illinois
17043,88711.0,DuPage,Illinois
17045,51109.0,Edgar,Illinois
17047,49766.0,Edwards,Illinois
17049,56293.0,Effingham,Illinois
17051,44432.0,Fayette,Illinois
17053,51120.0,Ford,Illinois
17055,41414.0,Franklin,Illinois
17057,50180.0,Fulton,Illinois
17059,42500.0,Gallatin,Illinois
17061,46052.0,Greene,Illinois
17063,74140.0,Grundy,Illinois
17065,56862.0,Hamilton,Illinois
17067,51549.0,Hancock,Illinois
17069,43081.0,Hardin,Illinois
17071,52712.0,Henderson,Illinois
17073,57250.0,Henry,Illinois
17075,51825.0,Iroquois,Illinois
17077,37802.0,Jackson,Illinois
17079,54951.0,Jasper,Illinois
17081,47617.0,Jefferson,Illinois
17083,56747.0,Jersey,Illinois
17085,57083.0,Jo Daviess,Illinois
17087,50923.0,Johnson,Illinois
17089,76912.0,Kane,Illinois
17091,57981.0,Kankakee,Illinois
17093,91764.0,Kendall,Illinois
17095,43709.0,Knox,Illinois
17097,86244.0,Lake,Illinois
17099,56243.0,LaSalle,Illinois
17101,45654.0,Lawrence,Illinois
17103,57901.0,Lee,Illinois
17105,56200.0,Livingston,Illinois
17107,57899.0,Logan,Illinois
17109,43724.0,McDonough,Illinois
17111,84803.0,McHenry,Illinois
17113,65813.0,McLean,Illinois
17115,50444.0,Macon,Illinois
17117,53778.0,Macoupin,Illinois
17119,57890.0,Madison,Illinois
17121,46102.0,Marion,Illinois
17123,55901.0,Marshall,Illinois
17125,45596.0,Mason,Illinois
17127,42604.0,Massac,Illinois
17129,69102.0,Menard,Illinois
17131,58011.0,Mercer,Illinois
