state,cluster,county,total_pop,fips,white,black,asian,hispanic,area,lon,lat,votes_gop,votes_dem,total_votes,median_income,pop25,no_hs,some_hs,hs,some_college,associates,bachelors,graduate,never,rarely,sometimes,frequently,always,pop_density,per_white,per_black,per_asian,per_hispanic,per_total_votes,per_votes_gop,per_votes_dem,education,mask,per_gop
Georgia,3,Clarke-Columbia-Richmond,487563,13059-13073-13245,244737,178349,15238,35504,733.616,-82.3577952105873,33.52842718006036,80192.0,97084.0,183363.0,51321.379151002024,297960,11606,26291,79237,63344,25713,52839,38930,0.062065111585579716,0.06008069726373823,0.09367967216544323,0.20946446305400535,0.574616111148713,664.6024623236135,0.5019597467404212,0.36579683035833316,0.03125339699690091,0.07281930745360086,0.37608062958017735,0.43734013950469836,0.5294634141020816,3.273674318700497,3.1742978753514928,0.45235677700309124
Georgia,4,Bartow-Catoosa-Chattooga-Dade-Dawson-Fannin-Floyd-Gilmer-Gordon-Lumpkin-Murray-Pickens-Polk-Towns-Union-Walker-White,742366,13015-13047-13055-13083-13085-13111-13115-13123-13129-13187-13213-13227-13233-13281-13291-13295-13311,618630,43538,6669,59341,5344.175,-84.69941279953701,34.5683694233414,217951.0,51080.0,276875.0,49001.78492953611,493389,29841,59089,167622,106550,37427,57539,35321,0.13779494346454446,0.08826928765595407,0.14735766454821475,0.180730227408044,0.44576771834917,138.91124448581866,0.8333221079629186,0.058647621254206146,0.008983439435534493,0.07993496469396497,0.37296293203083114,0.7871819413092551,0.18448758465011286,2.763158481441621,2.7082461723731956,0.8101334047005735
Georgia,5,Baldwin-Bibb-Bleckley-Butts-Crawford-Houston-Jasper-Jones-Lamar-Laurens-Monroe-Peach-Pike-Twiggs-Upson-Wilkinson,633182,13009-13021-13023-13035-13079-13153-13159-13169-13171-13175-13207-13225-13231-13289-13293-13319,348545,234678,11343,25887,5252.346,-83.5923754224463,32.81465468852083,143091.0,101621.0,250394.0,46406.33607872618,411612,16391,41508,140557,91084,33475,52236,36361,0.05677400020847087,0.07567719233964326,0.15574347501982053,0.2076191316240828,0.5045079329481886,120.55222561499187,0.5504657428669798,0.370632772251896,0.017914280570199406,0.0408839796456627,0.3954534399272247,0.5714633737230125,0.4058443892425537,2.937523687356054,3.028053269044287,0.5847322566935826
Georgia,6,Carroll-Haralson-Heard-Meriwether-Troup,252796,13045-13143-13149-13199-13285,172662,58839,3166,12704,1992.482,-84.99711910078601,33.32013647261572,63791.0,28036.0,94241.0,46450.33066583332,160743,8909,19285,56187,37834,9920,17982,10626,0.12740259735122392,0.0978340559186063,0.14484180920584186,0.17001242899412966,0.46054878241744324,126.87492283493653,0.6830092248295068,0.23275289165967816,0.012523932340701593,0.050253959714552446,0.3727946644725391,0.6768922231300601,0.2974925987627466,2.728000597226629,2.739750090982452,0.6946867479063892
Georgia,7,Calhoun-Clay-Dooly-Dougherty-Macon-Marion-Quitman-Randolph-Schley-Stewart-Sumter-Talbot-Taylor-Terrell-Webster,207507,13037-13061-13093-13095-13193-13197-13239-13243-13249-13259-13261-13263-13269-13273-13307,71039,121032,1936,10548,4963.462000000001,-84.43294006715456,32.07413319368534,32181.0,46110.0,79337.0,36054.36742374956,142292,9402,20087,47938,31322,10421,13280,9842,0.051345597979827184,0.052037333680309564,0.06817277489434091,0.18108808859460163,0.647318904904413,41.80690816208524,0.3423450775154573,0.5832670705084648,0.009329805741493058,0.050832020124622304,0.38233408993431545,0.4056241098100508,0.5811916255971362,2.649938155342535,3.3209227688704486,0.41104341495191016
Georgia,8,Berrien-Brooks-Colquitt-Cook-Crisp-Dodge-Lanier-Lowndes-Pulaski-Thomas-Tift-Turner-Wilcox-Worth,401629,13019-13027-13071-13075-13081-13091-13173-13185-13235-13275-13277-13287-13315-13321,232253,127353,5223,29652,5452.4,-83.53630006094002,31.398914076827758,88681.0,45091.0,136383.0,39403.74466983211,259485,14442,33580,92644,50918,21657,27110,19134,0.09357667897487482,0.09684958008510343,0.1205366619442321,0.2117838378204761,0.4774231940422629,73.66095664294623,0.578277465023691,0.3170911463066661,0.013004539014861975,0.0738293300533577,0.33957458251271694,0.6502349999633386,0.33062038523862947,2.730809102645625,2.8829671936040473,0.6629264719074246
Georgia,9,Banks-Barrow-Elbert-Franklin-Greene-Habersham-Hart-Jackson-Madison-Morgan-Oconee-Oglethorpe-Putnam-Rabun-Stephens-Walton,572320,13011-13013-13105-13119-13133-13137-13147-13157-13195-13211-13219-13221-13237-13241-13257-13297,433628,73442,11484,43060,4713.589000000002,-83.32765588350357,34.062069320951764,172108.0,50208.0,228878.0,55163.1007530752,369148,19289,40944,129257,73344,28747,46105,31462,0.09448601306961141,0.09343491578138105,0.11548172001677384,0.20224281695554933,0.49431312552418216,121.41915640078076,0.7576670394185071,0.12832331562762092,0.020065697511881465,0.07523762929829467,0.39991263628739165,0.7519639283810589,0.21936577565340487,2.8546138676086557,2.908379308778305,0.7741593047733857
Georgia,10,Cherokee-Coweta-Douglas-Fayette-Henry-Newton-Paulding-Rockdale-Spalding,1340617,13057-13077-13097-13113-13151-13217-13223-13247-13255,753076,415606,29591,111530,2489.744,-84.45386266287262,33.65163209513525,323254.0,218396.0,559846.0,68245.91919019377,834240,27926,59387,243347,187715,68025,162100,85740,0.08084639609970633,0.058141173802808706,0.11704531868535159,0.20686570362750883,0.5372350134303832,538.4557609135718,0.5617383637534061,0.3100109874781537,0.022072672508255526,0.08319303723583991,0.4176032379120957,0.5773980701835862,0.39010013467989413,3.2439897391637897,3.061768975777571,0.5967949783070249
Georgia,11,Clayton-Cobb-DeKalb-Fulton-Gwinnett,3811881,13063-13067-13089-13121-13135,1390591,1548414,300889,485469,1705.719,-84.33008274631219,33.83963325048799,468708.0,921393.0,1442635.0,65032.174553717705,2432235,108894,138891,510371,454826,176534,641131,401588,0.033960472795451904,0.04279994076415292,0.09239067903746208,0.18699284683860803,0.643856281977323,2234.7649290416534,0.36480441021112675,0.40620732913750457,0.07893452077858674,0.1273568088825438,0.3784575121836175,0.32489715000675845,0.6386875405074741,3.636749738409323,3.3639849672641935,0.33717550019746767
Georgia,12,Hall-Whitfield,309069,13139-13313,182626,18776,5577,97474,683.246,-84.30301086284656,34.52867797659714,73195.0,24078.0,100495.0,55521.531366782176,193808,23925,23963,54234,38962,11667,25900,15157,0.10297726721217591,0.06866147365151472,0.15338947613639672,0.17904252448482377,0.4969292585150889,452.3539105973544,0.5908907072530729,0.060750188469241496,0.018044514331751162,0.31537941365843875,0.3251539300285697,0.728344693765859,0.2395940096522215,2.6646320069346983,2.9002850334391352,0.752469852888263
Georgia,13,Forsyth,244252,13117,168509,9792,37736,23606,224.021,-84.12279757248987,34.22722441755388,69801.0,23427.0,97314.0,101743.0,142017,4763,5407,23577,24811,10053,48316,25090,0.035,0.048,0.083,0.193,0.6409999999999999,1090.3084978640395,0.6898981379886346,0.04008974337978809,0.1544961760804415,0.0966460868283576,0.39841638963038173,0.7172760342807818,0.24073617362352795,3.9384439890998966,3.3569999999999993,0.7487128330544471
Georgia,14,Baker-Decatur-Early-Grady-Miller-Mitchell-Seminole,99936,13007-13087-13099-13131-13201-13205-13253,51900,39226,638,6624,2935.9370000000004,-84.53637932395611,31.099859230442828,23886.0,15224.0,39621.0,38467.011457332694,69436,4557,9417,26024,14090,5929,5791,3628,0.06470662223823247,0.08671274615754083,0.1301185258565482,0.19709871317643293,0.5211075188120398,34.038877537222355,0.5193323727185398,0.39251120717259047,0.00638408581492155,0.06628242074927954,0.3964637367915466,0.6028621185734837,0.3842406804472376,2.5660176277435336,3.022676012648095,0.6107389414472002
Georgia,15,Bryan-Chatham-Effingham-Liberty-Long-McIntosh-Wayne,518652,13029-13051-13103-13179-13183-13191-13305,281607,173358,11478,37687,3296.274,-81.52092807087851,31.84581185446035,92404.0,83083.0,180931.0,55598.4882599508,330447,10695,25672,94066,81192,27486,56564,34772,0.031480397260590924,0.05957706516122564,0.13011578862127207,0.18568418708498183,0.5937813447166888,157.34492945671386,0.5429594410124708,0.33424724092455055,0.02213044584808311,0.0726633658021178,0.34884855355806976,0.510714029105018,0.45919715250565135,3.2040720599672565,3.25198658252547,0.5265575227794651
Georgia,16,Brantley-Camden-Charlton-Clinch-Glynn-Pierce-Ware,234276,13025-13039-13049-13065-13127-13229-13299,160804,50963,2721,13844,4257.893,-82.16601373596372,31.01749571111928,58813.0,24299.0,85049.0,47397.319836432245,154473,6262,15971,52492,34694,12318,19777,12959,0.07191218477351499,0.10090449725964246,0.14422981013846914,0.185439101743243,0.4974313203230378,55.02157992227611,0.6863869965340026,0.21753401970325598,0.011614505967320596,0.059092694087315815,0.36302907681538016,0.6915190066902609,0.28570588719444084,2.919267444796178,2.935406704058461,0.7076354798344403
Hawaii,0,Kalawao-Maui,167503,15005-15009,50389,1154,46696,19371,1173.512,-156.57105469375054,20.865930969256635,13445.5,33479.5,51942.5,77109.17439687648,117275,4220,5130,37341,27838,11591,21061,10094,0.03399589261087862,0.01599845972907948,0.02500359396548122,0.12197843620711271,0.8030241309110882,142.7365037596548,0.30082446284544156,0.006889428846050518,0.2787770965296144,0.1156456899279416,0.3100989236013683,0.2588535399720845,0.644549261202291,3.202379023662332,3.644037479925733,0.28653169952051144
Hawaii,1,Kauai,72293,15007,21171,442,21355,8213,619.956,-159.60077353641114,22.041729729768814,7574.0,16456.0,26335.0,78482.0,50696,2365,1797,15243,9683,6640,10342,4626,0.0,0.021,0.046,0.108,0.825,116.60988844369601,0.2928499301453806,0.006114008271893544,0.2953951281590195,0.11360712655443819,0.3642814657020735,0.2876020505031327,0.6248718435542054,3.301207195833991,3.7369999999999997,0.3151893466500208
