state_abbr,county,fips,votes_dem,votes_gop,total_votes
OH,Ashland,39005,5659,17169,24074
OH,Ashtabula,39007,15191,22755,39809
OH,Athens,39009,15552,10816,27941
OH,Auglaize,39011,3825,18130,22860
OH,Belmont,39013,8652,20729,30537
OH,Brown,39015,4270,14257,19139
OH,Butler,39017,56700,104441,168422
OH,Carroll,39019,3124,9067,12807
OH,Champaign,39021,4488,12314,17597
OH,Clark,39023,22666,34311,59620
OH,Clermont,39025,26096,65960,96455
OH,Clinton,39027,3943,13466,18100
OH,Columbiana,39029,12273,31086,45261
OH,Coshocton,39031,3908,10381,14961
OH,Crawford,39033,4518,13265,18702
OH,Cuyahoga,39035,383974,179894,583230
OH,Darke,39037,4395,19698,25000
OH,Defiance,39039,5282,11478,17795
OH,Delaware,39041,39584,55660,100101
OH,Erie,39043,15692,19301,36730
OH,Fairfield,39045,24150,43163,70542
OH,Fayette,39047,2672,7763,10817
OH,Franklin,39049,335961,192328,554711
OH,Fulton,39051,5981,13419,20693
OH,Gallia,39053,2564,9567,12588
OH,Geauga,39055,17165,29577,48736
OH,Greene,39057,28023,47506,79633
OH,Guernsey,39059,4286,11164,16156
OH,Hamilton,39061,207587,169972,395000
OH,Hancock,39063,9419,23777,35216
OH,Hardin,39065,2870,8541,12014
OH,Harrison,39067,1663,5021,6956
OH,Henry,39069,3690,9136,13671
OH,Highland,39071,3436,13005,17048
OH,Hocking,39073,3713,8282,12513
OH,Holmes,39075,1766,8578,10823
OH,Huron,39077,7080,15930,24332
OH,Jackson,39079,3142,9618,13239
OH,Jefferson,39081,9483,20668,31346
OH,Knox,39083,7959,18563,27768
OH,Lake,39085,45056,62627,112790
OH,Lawrence,39087,6849,18240,25949
OH,Licking,39089,26360,49346,79399
OH,Logan,39091,4537,15586,21007
OH,Lorain,39093,64958,65346,136654
OH,Lucas,39095,107363,74102,191684
OH,Madison,39097,4662,11319,16754
OH,Mahoning,39099,56188,52808,112827
OH,Marion,39101,7748,16563,25648
OH,Medina,39103,31582,53811,89360
OH,Meigs,39105,2157,6869,9410
OH,Mercer,39107,3335,17200,21315
OH,Miami,39109,12832,36311,51467
OH,Monroe,39111,1647,4781,6686
OH,Montgomery,39113,117661,120766,249560
OH,Morgan,39115,1711,4315,6290
OH,Morrow,39117,3711,11722,16186
OH,Muskingum,39119,10926,23588,36217
OH,Noble,39121,1201,4441,5875
OH,Ottawa,39123,8136,12389,21742
OH,Paulding,39125,2068,6359,8842
OH,Perry,39127,4072,9978,14647
OH,Pickaway,39129,6325,16482,23814
OH,Pike,39131,3443,7669,11513
OH,Portage,39133,31463,38978,73968
OH,Preble,39135,4323,15376,20475
OH,Putnam,39137,2874,14704,18387
OH,Richland,39139,15629,35805,53739
OH,Ross,39141,9905,17833,28955
OH,Sandusky,39143,9733,16045,27491
OH,Scioto,39145,8841,19742,29618
OH,Seneca,39147,7237,14559,23481
OH,Shelby,39149,4143,18148,23110
OH,Stark,39151,66581,96345,170868
OH,Summit,39153,129922,109531,249937
OH,Trumbull,39155,42130,48152,94073
OH,Tuscarawas,39157,11895,26105,40088
OH,Union,39159,7530,17601,26533
OH,Van Wert,39161,2667,10328,13584
OH,Vinton,39163,1332,3799,5393
OH,Warren,39165,33036,75947,114254
OH,Washington,39167,7841,19901,28992
OH,Wayne,39169,14670,31622,48550
OH,Williams,39171,4287,11706,16938
OH,Wood,39173,26440,31734,62287
OH,Wyandot,39175,2484,7346,10396
OK,Adair,40001,1374,4753,6468
OK,Alfalfa,40003,216,1931,2256
OK,Atoka,40005,795,4068,5002
OK,Beaver,40007,176,1987,2237
OK,Beckham,40009,958,6287,7529
OK,Blaine,40011,711,2884,3793
OK,Bryan,40013,2793,10449,13775
OK,Caddo,40015,2418,6473,9336
OK,Canadian,40017,11666,39969,55250
OK,Carter,40019,4002,13751,18533
OK,Cherokee,40021,5455,9992,16487
OK,Choctaw,40023,1064,4202,5419
OK,Cimarron,40025,70,962,1077
OK,Cleveland,40027,38790,62469,109326
OK,Coal,40029,411,1892,2393
OK,Comanche,40031,11439,19153,32504
